央视高清,#genre#
CCTV-4美洲,http://121.29.133.109:8888/rtp/239.253.93.193:6371
CCTV-4美洲,http://121.29.169.138:7777/rtp/239.253.93.193:6371
CCTV-4美洲,http://121.29.169.138:8888/rtp/239.253.93.193:6371
CCTV-4美洲,http://121.29.169.227:7777/rtp/239.253.93.193:6371
CCTV-4美洲,http://121.29.169.227:8888/rtp/239.253.93.193:6371
CCTV-4美洲,http://121.29.169.26:7777/rtp/239.253.93.193:6371
CCTV-4美洲,http://121.29.169.26:8888/rtp/239.253.93.193:6371
CCTV-4美洲,http://121.29.215.203:7777/rtp/239.253.93.193:6371
CCTV-4美洲,http://121.29.215.203:8888/rtp/239.253.93.193:6371
CCTV-5+体育赛事,http://121.29.169.138:7777/rtp/239.253.92.82:8013
CCTV-5+体育赛事,http://121.29.169.138:8888/rtp/239.253.92.82:8013
CCTV-5+体育赛事,http://121.29.169.227:7777/rtp/239.253.92.82:8013
CCTV-5+体育赛事,http://121.29.169.227:8888/rtp/239.253.92.82:8013
CCTV-5+体育赛事,http://121.29.169.26:7777/rtp/239.253.92.82:8013
CCTV-5+体育赛事,http://121.29.169.26:8888/rtp/239.253.92.82:8013
CCTV-5+体育赛事,http://121.29.215.203:7777/rtp/239.253.92.82:8013
CCTV-5+体育赛事,http://121.29.215.203:8888/rtp/239.253.92.82:8013
央视数字,#genre#
CCTV电视指南,http://121.29.133.109:8888/rtp/239.253.93.249:6427
CCTV电视指南,http://121.29.169.138:7777/rtp/239.253.93.249:6427
CCTV电视指南,http://121.29.169.138:8888/rtp/239.253.93.249:6427
CCTV电视指南,http://121.29.169.227:7777/rtp/239.253.93.249:6427
CCTV电视指南,http://121.29.169.227:8888/rtp/239.253.93.249:6427
CCTV电视指南,http://121.29.169.26:7777/rtp/239.253.93.249:6427
CCTV电视指南,http://121.29.169.26:8888/rtp/239.253.93.249:6427
CCTV电视指南,http://121.29.215.203:7777/rtp/239.253.93.249:6427
CCTV电视指南,http://121.29.215.203:8888/rtp/239.253.93.249:6427
CCTV第一剧场,http://121.29.133.109:8888/rtp/239.253.93.138:6428
CCTV第一剧场,http://121.29.169.138:7777/rtp/239.253.93.138:6428
CCTV第一剧场,http://121.29.169.138:8888/rtp/239.253.93.138:6428
CCTV第一剧场,http://121.29.169.227:7777/rtp/239.253.93.138:6428
CCTV第一剧场,http://121.29.169.227:8888/rtp/239.253.93.138:6428
CCTV第一剧场,http://121.29.169.26:7777/rtp/239.253.93.138:6428
CCTV第一剧场,http://121.29.169.26:8888/rtp/239.253.93.138:6428
CCTV第一剧场,http://121.29.215.203:7777/rtp/239.253.93.138:6428
CCTV第一剧场,http://121.29.215.203:8888/rtp/239.253.93.138:6428
CCTV风云剧场,http://121.29.133.109:8888/rtp/239.253.93.251:6429
CCTV风云剧场,http://121.29.169.138:7777/rtp/239.253.93.251:6429
CCTV风云剧场,http://121.29.169.138:8888/rtp/239.253.93.251:6429
CCTV风云剧场,http://121.29.169.227:7777/rtp/239.253.93.251:6429
CCTV风云剧场,http://121.29.169.227:8888/rtp/239.253.93.251:6429
CCTV风云剧场,http://121.29.169.26:7777/rtp/239.253.93.251:6429
CCTV风云剧场,http://121.29.169.26:8888/rtp/239.253.93.251:6429
CCTV风云剧场,http://121.29.215.203:7777/rtp/239.253.93.251:6429
CCTV风云剧场,http://121.29.215.203:8888/rtp/239.253.93.251:6429
CCTV怀旧剧场,http://121.29.133.109:8888/rtp/239.253.93.252:6430
CCTV怀旧剧场,http://121.29.169.138:7777/rtp/239.253.93.252:6430
CCTV怀旧剧场,http://121.29.169.138:8888/rtp/239.253.93.252:6430
CCTV怀旧剧场,http://121.29.169.227:7777/rtp/239.253.93.252:6430
CCTV怀旧剧场,http://121.29.169.227:8888/rtp/239.253.93.252:6430
CCTV怀旧剧场,http://121.29.169.26:7777/rtp/239.253.93.252:6430
CCTV怀旧剧场,http://121.29.169.26:8888/rtp/239.253.93.252:6430
CCTV怀旧剧场,http://121.29.215.203:7777/rtp/239.253.93.252:6430
CCTV怀旧剧场,http://121.29.215.203:8888/rtp/239.253.93.252:6430
CCTV风云音乐,http://121.29.133.109:8888/rtp/239.253.93.253:6431
CCTV风云音乐,http://121.29.169.138:7777/rtp/239.253.93.253:6431
CCTV风云音乐,http://121.29.169.138:8888/rtp/239.253.93.253:6431
CCTV风云音乐,http://121.29.169.227:7777/rtp/239.253.93.253:6431
CCTV风云音乐,http://121.29.169.227:8888/rtp/239.253.93.253:6431
CCTV风云音乐,http://121.29.169.26:7777/rtp/239.253.93.253:6431
CCTV风云音乐,http://121.29.169.26:8888/rtp/239.253.93.253:6431
CCTV风云音乐,http://121.29.215.203:7777/rtp/239.253.93.253:6431
CCTV风云音乐,http://121.29.215.203:8888/rtp/239.253.93.253:6431
CCTV风云足球,http://121.29.133.109:8888/rtp/239.253.93.254:6432
CCTV风云足球,http://121.29.169.138:7777/rtp/239.253.93.254:6432
